user_id,item_id,score,user_id_init,category
504290-0,47925,0.901102686879484,504290,0
504290-0,54368,0.8144999056092165,504290,0
504290-0,119153,0.6505598776476597,504290,0
504290-0,1176,0.4489874883518847,504290,0
504290-4,46262,0.8410366188160215,504290,4
504290-6,64914,0.7241823112143329,504290,6
504290-7,94453,0.9733502443526404,504290,7
504290-7,15928,0.92964179112032,504290,7
504290-7,127742,0.8372496554689919,504290,7
219624-0,54368,0.7780822370296046,219624,0
219624-0,27097,0.7125019545014513,219624,0
219624-0,64676,0.5384481022244685,219624,0
219624-6,119762,0.7630616280524026,219624,6
219624-7,2944,0.957148623838216,219624,7
219624-7,58641,0.8524468878355892,219624,7
219624-7,123462,0.8305487256644105,219624,7
219624-9,118883,0.8664250157248086,219624,9
10420-0,21018,0.7109919756875371,10420,0
10420-0,64957,0.6811050982123312,10420,0
10420-0,67706,0.6728927998302401,10420,0
10420-4,46415,0.9335891945044462,10420,4
10420-4,53018,0.8909439053903783,10420,4
10420-9,52464,0.9737412440989142,10420,9
10420-9,118908,0.9634752211496492,10420,9
10420-10,97946,0.88387863568261,10420,10
10420-11,110341,0.5756551760111587,10420,11
511303-0,106885,0.2739102435113777,511303,0
511303-4,100289,0.8388513061942067,511303,4
511303-6,98252,0.8959919019400167,511303,6
511303-7,20916,0.9759240743997326,511303,7
511303-7,92462,0.9751935274566298,511303,7
511303-9,32792,0.9446508377339397,511303,9
511303-9,73756,0.9420491596880918,511303,9
511303-9,86444,0.9328813261585324,511303,9
184564-0,29016,0.7454006661510185,184564,0
184564-0,54368,0.7006610709121174,184564,0
184564-0,20713,0.6438173399105892,184564,0
184564-4,130132,0.6522756970035022,184564,4
184564-6,98252,0.8823021850944444,184564,6
184564-7,92462,0.9420635923913172,184564,7
184564-7,7907,0.9410729046568894,184564,7
184564-9,120696,0.9542335337115818,184564,9
184564-9,68048,0.9494308017423184,184564,9
184564-9,73756,0.928686945990485,184564,9
467213-0,12458,0.33329751043831,467213,0
467213-0,54368,0.1288162823771829,467213,0
467213-0,49283,0.0968500782456896,467213,0
467213-7,94421,0.8210377128647425,467213,7
467213-9,65768,0.9812525958221024,467213,9
467213-9,68048,0.9753551091970684,467213,9
467213-9,80814,0.9724167290550084,467213,9
467213-9,110485,0.9683314401982376,467213,9
467213-9,86059,0.959260451557113,467213,9
467213-11,20802,0.9812758664173648,467213,11
33560-0,54368,0.400832459942093,33560,0
33560-0,94777,0.3530101463913623,33560,0
33560-4,105952,0.7515992567720582,33560,4
33560-6,98252,0.666789305397145,33560,6
33560-6,12264,0.6436671029371195,33560,6
33560-7,54296,0.9650047069800092,33560,7
33560-7,13322,0.9253352558497304,33560,7
33560-8,10048,0.5889178566992105,33560,8
33560-9,53474,0.903433245612515,33560,9
33560-11,69772,0.8434525268289921,33560,11
160605-0,96729,0.4168935192295702,160605,0
160605-0,74453,0.4090837642359147,160605,0
160605-4,46415,0.7993085362363896,160605,4
160605-6,98252,0.7545970521962031,160605,6
160605-7,7907,0.9850339572177964,160605,7
160605-7,94453,0.9695091720902724,160605,7
160605-7,91275,0.9694465204294496,160605,7
160605-9,116361,0.9748100875128616,160605,9
160605-9,120696,0.9680654268360592,160605,9
160605-11,33967,0.9739558786012044,160605,11
411546-0,106885,0.7608358528991275,411546,0
411546-0,93225,0.7525925262768733,411546,0
411546-7,7907,0.978133841826155,411546,7
411546-7,54296,0.9724150115371532,411546,7
411546-7,110025,0.9682320002599734,411546,7
411546-9,36233,0.9674531372501738,411546,9
411546-9,21365,0.958733573715592,411546,9
411546-9,68048,0.9569080315940268,411546,9
326863-0,96729,0.9086693691104069,326863,0
326863-0,26328,0.8347394187864561,326863,0
326863-0,47925,0.8309613801444399,326863,0
326863-6,3718,0.9413136493981282,326863,6
326863-6,98252,0.9280149307009816,326863,6
326863-7,80621,0.9609899525878738,326863,7
326863-7,59704,0.9602055782392682,326863,7
326863-9,83843,0.9553636451016976,326863,9
326863-10,93934,0.8987172105033825,326863,10
227390-0,96729,0.6751460695164232,227390,0
227390-0,54368,0.6288064176943403,227390,0
227390-1,93066,0.6070385612799656,227390,1
227390-4,46415,0.9150907584855869,227390,4
227390-4,128257,0.6790114342969026,227390,4
227390-6,122245,0.8966569155998712,227390,6
227390-7,1375,0.8043246295340689,227390,7
227390-9,73756,0.9556445756304592,227390,9
227390-9,17756,0.9526577326385836,227390,9
227390-9,127134,0.9501318631626934,227390,9
227390-11,101233,0.8896295525508878,227390,11
477001-0,29016,0.8489859631467427,477001,0
477001-0,54368,0.8323478926832227,477001,0
477001-0,1444,0.6943966541802169,477001,0
477001-0,106885,0.6110317080342506,477001,0
477001-0,39877,0.4066615384412296,477001,0
477001-0,18405,0.3272080207481912,477001,0
477001-4,120147,0.6440327428495928,477001,4
477001-7,92462,0.9131991852029742,477001,7
477001-7,7907,0.9119431034402264,477001,7
340668-0,54368,0.6098244478130135,340668,0
340668-0,27097,0.59179015142618,340668,0
340668-0,18405,0.5819045655816699,340668,0
340668-0,1167,0.3439298392111371,340668,0
340668-1,114526,0.7968659901774267,340668,1
340668-4,23744,0.7945540678435168,340668,4
340668-7,54296,0.942733593829878,340668,7
340668-7,58641,0.8717128712461659,340668,7
340668-9,73756,0.946673847773646,340668,9
340668-12,23958,0.9635726723181038,340668,12
268340-0,106885,0.8940551064855485,268340,0
268340-0,121138,0.6994455819050857,268340,0
268340-0,29016,0.6208054834033055,268340,0
268340-4,107373,0.6166524033364396,268340,4
268340-6,71001,0.7814949514160978,268340,6
268340-7,20916,0.9736458734641662,268340,7
268340-7,92462,0.9733610366649452,268340,7
268340-9,120749,0.930296135757594,268340,9
268340-10,10623,0.973002639303665,268340,10
709943-0,49307,0.8098388068463069,709943,0
709943-0,35318,0.6856322617986208,709943,0
709943-4,118262,0.6558010830599603,709943,4
709943-6,23981,0.8055061444784936,709943,6
709943-7,92462,0.9838856671162186,709943,7
709943-7,58449,0.9816990257416522,709943,7
709943-7,105956,0.9572702003987904,709943,7
709943-9,24695,0.9508191486120462,709943,9
709943-10,52792,0.8004318105899497,709943,10
510910-0,121138,0.8207701287468552,510910,0
510910-0,83732,0.7828334526040439,510910,0
510910-4,46415,0.9187795332937264,510910,4
510910-6,50466,0.741336523102531,510910,6
510910-7,10244,0.9736492770580696,510910,7
510910-9,37769,0.972429262590512,510910,9
510910-9,42326,0.9706417238717922,510910,9
348190-0,121138,0.8256139633314222,348190,0
348190-4,46415,0.9028598894722965,348190,4
348190-9,100867,0.9857412491876868,348190,9
348190-9,44244,0.9825545241559696,348190,9
348190-9,7728,0.9825356012135744,348190,9
348190-9,68048,0.9760288786138273,348190,9
348190-9,28726,0.9615528979838068,348190,9
348190-9,86444,0.959469166287309,348190,9
348190-9,67138,0.9573097766367428,348190,9
671342-0,18405,0.5288776176872412,671342,0
671342-0,39877,0.3244606068370935,671342,0
671342-1,43764,0.7200460771170263,671342,1
671342-4,30325,0.6584483486614385,671342,4
671342-6,104054,0.7948886415230747,671342,6
671342-7,92462,0.9485522786808268,671342,7
671342-7,1849,0.943300859760788,671342,7
671342-7,54296,0.94121234716831,671342,7
671342-9,23551,0.9221088706311102,671342,9
671342-11,104644,0.7407356061527778,671342,11
400787-0,21018,0.605102785059535,400787,0
400787-0,47925,0.5241642534358816,400787,0
400787-4,27909,0.7520143386743126,400787,4
400787-7,43,0.8785797431140541,400787,7
400787-9,28873,0.9635289676037184,400787,9
400787-9,118908,0.959985714751908,400787,9
400787-9,91716,0.9529780584838986,400787,9
400787-9,121136,0.9321071048833348,400787,9
632103-0,64957,0.7127094105279739,632103,0
632103-0,21018,0.6759285282999034,632103,0
632103-0,95962,0.6487417354660595,632103,0
632103-4,110523,0.7284506236493035,632103,4
632103-7,65785,0.9500720541969668,632103,7
632103-7,46841,0.9299821064942948,632103,7
632103-9,49939,0.9681281836848514,632103,9
632103-9,56784,0.9629279839326972,632103,9
153437-0,108379,0.7070112797092195,153437,0
153437-4,27158,0.8929836052185619,153437,4
153437-6,118892,0.8189155366022074,153437,6
153437-7,58449,0.9868401777009972,153437,7
153437-7,73331,0.9770294248361266,153437,7
