,0,1,2,3,4,5,6,7,8,9,10,11,12
504290,0.37114620815056415,0.0,0.0,0.026510443439326008,0.07368925437757187,0.0,0.121310655092647,0.362575758303625,0.0,0.018257237196939884,0.0,0.0,0.026510443439326008
219624,0.3381850035588866,0.024156071682777613,0.0,0.02268830908933455,0.04831214336555523,0.0,0.1517394006657002,0.2866248482437134,0.0,0.05882362464359813,0.04831214336555523,0.021158455384879024,0.0
10420,0.33891064225442824,0.0,0.0,0.0,0.21754796713156238,0.021181915140901765,0.0375260649257977,0.04236383028180353,0.021181915140901765,0.18559493086275722,0.08104526457526105,0.054647469686586084,0.0
511303,0.15260436650689366,0.0,0.0,0.021800623786699093,0.07836369039152945,0.03701206838819518,0.057583132425577575,0.23815322132282885,0.0,0.35483550875459496,0.020975196998626412,0.03867219142505498,0.0
184564,0.27643668957027157,0.0,0.0,0.02459874348047037,0.07993969122586923,0.0,0.08945492074372126,0.15471966054820915,0.027643668957027155,0.2736519296390369,0.027643668957027155,0.04591102687836741,0.0
467213,0.30479259962893795,0.0,0.0,0.0,0.0,0.0,0.02217080376742974,0.11543389786437647,0.0,0.477524357491817,0.030479259962893794,0.0495990812845449,0.0
33560,0.23707017111894974,0.026341130124327747,0.0,0.026341130124327747,0.06615829169374995,0.0,0.2028449575103681,0.22457971332832835,0.052682260248655494,0.09477613777711129,0.0,0.06920620807418174,0.0
160605,0.15666311749493197,0.0313326234989864,0.0,0.0156663117494932,0.11971364916540506,0.0,0.07449112765036818,0.3203364421099707,0.0,0.23080896348103416,0.0,0.05098776484981034,0.0
411546,0.1993294913585149,0.0,0.0,0.0,0.028244314462403757,0.01159022460745048,0.04083961950756266,0.3534736718325206,0.0,0.30627025729049373,0.016610790946542907,0.027030839047968228,0.016610790946542907
326863,0.3012680378412365,0.020084535856082435,0.0,0.03221753193445565,0.0335842489905996,0.020084535856082435,0.22997952842032243,0.24784837553655775,0.0,0.05694382724848686,0.05798937831617608,0.0,0.0
227390,0.15783435999057424,0.059187884996465344,0.0,0.01972929499882178,0.161116764319077,0.0,0.07837674727650977,0.14547272296859004,0.0,0.27878555517736353,0.019232672104283206,0.0802639981683154,0.0
477001,0.5875769152822834,0.029378845764114172,0.0,0.0,0.09015077539579457,0.029378845764114172,0.042852566119827594,0.22066205167386613,0.0,0.0,0.0,0.0,0.0
340668,0.37453731708184457,0.07884996149091465,0.0,0.019712490372728663,0.06741949375148894,0.0,0.01795185162355238,0.17043879137623366,0.019712490372728663,0.09960063417726234,0.0,0.036864245846323376,0.11491272390692264
268340,0.30192123300238977,0.023224710230953058,0.0,0.0,0.05329888075325448,0.023224710230953058,0.12586631215158928,0.23224298831667753,0.046449420461906116,0.06561855437609859,0.06568895557679484,0.039239524668430115,0.023224710230953058
709943,0.2571000059471182,0.012855000297355909,0.0,0.020620659873107152,0.08064989811274567,0.008969611456473509,0.058591791679201796,0.2928253220469082,0.0,0.15237076398964222,0.07353805482572047,0.03137852783028344,0.011100363941443491
510910,0.2379945278871803,0.039665754647863385,0.03615194597779218,0.013221918215954462,0.14207594663697637,0.02244754764909997,0.08095486167694706,0.0900933701714853,0.0,0.267797729803192,0.02594322114713833,0.04365317618637031,0.0
348190,0.13069589805398799,0.0,0.0,0.0,0.07086471690342758,0.030397806233171076,0.0,0.0,0.0,0.7503180610276273,0.0,0.017723517781786078,0.0
671342,0.23637798539233712,0.11818899269616856,0.0,0.0,0.1082966853212771,0.0,0.07961118492546707,0.28247669268247677,0.0,0.0660382446022969,0.028428514582044366,0.0510344516238899,0.02954724817404214
400787,0.17783121146893124,0.0,0.0,0.0,0.13773903115210545,0.0,0.04835720574921327,0.14819267622410937,0.0,0.43964891046251414,0.0,0.048230964943126474,0.0
632103,0.29059737485418485,0.0,0.0,0.0,0.1522843085997006,0.0,0.034728276940550716,0.22471434281206065,0.0,0.24111354974836788,0.029431012928263445,0.027131134116871604,0.0
153437,0.12968290038475508,0.0,0.008330295090316703,0.0,0.08993657100656664,0.010054066313091211,0.10824278003680082,0.2519608769009141,0.0,0.3123857212537644,0.041613377470591476,0.04779341154319959,0.0
89113,0.2309427339098847,0.0,0.0,0.0,0.15829021311884112,0.0,0.03058117102992309,0.36290362667422904,0.0,0.10073516228120773,0.0,0.1165470929859142,0.0
134790,0.19901046971634007,0.0,0.0,0.0,0.0,0.05616952280169842,0.05308786568646058,0.22748661989527028,0.0,0.41758332183262903,0.03316841161939001,0.013493788448211847,0.0
155062,0.19692422024855727,0.0,0.030132149967849364,0.009232632927400059,0.03321724381655489,0.042198047196119415,0.03640414077812363,0.0,0.014066015732039805,0.5756639742935276,0.0,0.048095559307788124,0.014066015732039805
